City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Birao,CF,10.2849,22.7882,70.0,14,7,7.11,clear sky
213,La Ronge,CA,55.1001,-105.2842,-12.75,58,75,2.3,broken clouds
214,Vostok,RU,46.4856,135.8833,15.37,97,100,2.13,light snow
215,Bacolod,PH,10.6667,122.95,76.93,89,90,11.43,overcast clouds
216,Caravelas,BR,-17.7125,-39.2481,76.68,84,25,5.44,scattered clouds
217,Maltahohe,NA,-24.8333,16.9833,67.57,77,100,5.86,moderate rain
218,Jeremie,HT,18.65,-74.1167,78.84,73,29,0.38,scattered clouds
219,New Norfolk,AU,-42.7826,147.0587,58.75,64,27,2.44,scattered clouds
220,Redding,US,40.5865,-122.3917,84.72,18,0,11.5,clear sky
221,Grand Gaube,MU,-20.0064,57.6608,75.6,81,73,1.99,broken clouds
222,Rodrigues Alves,BR,-7.738,-72.6509,88.0,66,88,3.42,overcast clouds
223,Narsaq,GL,60.9167,-46.05,21.42,78,100,5.97,overcast clouds
224,Torbay,CA,47.6666,-52.7314,38.39,82,75,26.46,broken clouds
225,Ayan,RU,56.45,138.1667,6.67,83,100,5.55,overcast clouds
226,Ostrovnoy,RU,68.0531,39.5131,20.17,93,98,9.78,overcast clouds
227,Farmington,US,36.7281,-108.2187,62.2,25,0,10.36,clear sky
228,Gura Foii,RO,44.75,25.2833,41.95,68,8,4.65,clear sky
229,Gari,RU,59.4307,62.3497,6.55,94,100,10.6,light snow
230,Manggar,ID,-2.8833,108.2667,77.34,86,97,6.08,overcast clouds
231,Sabzevar,IR,36.2126,57.6819,45.64,65,100,7.78,overcast clouds
232,Bonaventure,CA,48.0457,-65.4926,30.74,59,58,3.44,broken clouds
233,Siocon,PH,7.7061,122.1353,76.59,89,96,3.83,overcast clouds
234,Winnemucca,US,40.973,-117.7357,59.05,38,0,0.0,clear sky
235,Carutapera,BR,-1.195,-46.02,76.26,92,99,6.15,moderate rain
236,Mareeba,AU,-17.0,145.4333,71.44,91,28,2.46,scattered clouds
237,Pacific Grove,US,36.6177,-121.9166,83.57,40,0,6.91,clear sky
238,Kutum,SD,14.2,24.6667,54.86,18,0,7.09,clear sky
239,San Rafael,AR,-34.6177,-68.3301,72.55,33,77,12.26,broken clouds
240,Severo-Kurilsk,RU,50.6789,156.125,25.56,88,100,7.05,light snow
241,Souillac,MU,-20.5167,57.5167,75.58,88,20,3.44,few clouds
